props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Lyngby-Taarbæk,55.78358,12.510505,,,/adresse/hf.-stadion-61-2800-kongens-lyngby-01738050__61_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.783203,12.5111265,,,/adresse/hf.-stadion-83-2800-kongens-lyngby-01738050__83_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.776688,12.572933,,,/adresse/dyrehavsbakken-9a-2930-klampenborg-01730913__9a_______,value:480000|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,,,,,,,,,,Lyngby-Taarbæk,55.777313,12.502102,,,/adresse/slotsvaenget-23a-0-20-2800-kongens-lyngby-01730737_23a_st__20,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,26.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2019.0,Lyngby-Taarbæk,55.79089,12.520556,2019-08-21T00:00:00Z,Øvrigt,/adresse/nordvej-259f-0-5-2800-kongens-lyngby-01730610259f_st___5,value:|sqm:26|lastPrice:4406063|sqmPr:169463|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.774048,12.498341,,,/adresse/lyngby-hovedgade-24a-0-2800-kongens-lyngby-01730535_24a_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Metal,Fjernvarme/blokvarme,50.0,Eget køkken med afløb,6.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2023.0,Lyngby-Taarbæk,55.77949,12.523106,2023-01-01T00:00:00Z,Byggeår,/adresse/akademivej-1e-6-4-2800-kongens-lyngby-01730020__1e__6___4,value:|sqm:50|lastPrice:|sqmPr:|rooms:
Adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Centralvarme med én fyringsenhed,10.0,Adgang til fælles køkken,2.0,,Tagpap med lille hældning,Vandskyllende toilet uden for enheden,1978.0,Lyngby-Taarbæk,55.80122,12.520386,2023-01-18T00:00:00Z,Fri handel,/adresse/nymoellevej-59b-0-20-2800-kongens-lyngby-01730619_59b_st__20,value:|sqm:10|lastPrice:64000000|sqmPr:6400000|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.786716,12.595025,,,/adresse/christiansrovej-3-2930-klampenborg-01730906___3_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,27.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2019.0,Lyngby-Taarbæk,55.791706,12.521208,2019-08-21T00:00:00Z,Øvrigt,/adresse/nordvej-259b-2-11-2800-kongens-lyngby-01730610259b__2__11,value:|sqm:27|lastPrice:4406063|sqmPr:163187|rooms:
Adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Centralvarme med én fyringsenhed,16.0,Adgang til fælles køkken,2.0,,Tagpap med lille hældning,Vandskyllende toilet uden for enheden,1978.0,Lyngby-Taarbæk,55.80129,12.519703,2023-01-18T00:00:00Z,Fri handel,/adresse/nymoellevej-59a-0-24-2800-kongens-lyngby-01730619_59a_st__24,value:|sqm:16|lastPrice:64000000|sqmPr:4000000|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.795258,12.47406,,,/adresse/geels-plads-8-0-2830-virum-01730287___8_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,67.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,2013.0,Lyngby-Taarbæk,55.794025,12.50521,2014-01-01T00:00:00Z,Ombygningsår,/adresse/moelleaaparken-2-0-51-2800-kongens-lyngby-01730601___2_st__51,value:|sqm:67|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.765575,12.50863,,,/adresse/lyngby-hovedgade-96-5-2800-kongens-lyngby-01730535__96__5____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.785248,12.532269,,,/adresse/biologiens-vej-3-2800-kongens-lyngby-01730059___3_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.79162,12.468615,,,/adresse/virum-stationsvej-45a-2830-virum-01730869_45a_______,value:790000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.786053,12.523377,,,/adresse/anker-engelunds-vej-101a-0-2800-kongens-lyngby-01730024101a_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7819,12.48858,,,/adresse/skovbrynet-2d-4-5-2800-kongens-lyngby-01730722__2d__4___5,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Mursten,,,,,,Tagpap med stor hældning,,1912.0,Lyngby-Taarbæk,55.799896,12.506917,,,/adresse/oerholm-stationsvej-1-0-2800-kongens-lyngby-01730887___1_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,71.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2010.0,Lyngby-Taarbæk,55.777843,12.518335,2010-01-01T00:00:00Z,Byggeår,/adresse/bauneporten-24-1-211-2800-kongens-lyngby-01730052__24__1_211,value:|sqm:71|lastPrice:|sqmPr:|rooms:
