"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","","","","","","","","","","","Hørsholm","55.891","12.497468","","","/adresse/ph-park-21-3-tv-2970-hoersholm-02230002__21__3__tv","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Hørsholm","55.891155","12.499108","2023-02-23T00:00:00Z","Øvrigt","/adresse/ph-park-53-2970-hoersholm-02230002__53_______","value:15995700|sqm:|lastPrice:223125|sqmPr:undefined|rooms:"
"Adgang til badeværelse","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Centralvarme med én fyringsenhed","48.0","Adgang til fælles køkken","1.0","","Tegl","Vandskyllende toilet uden for enheden","1946.0","Hørsholm","55.900276","12.489525","2017-01-01T00:00:00Z","Ombygningsår","/adresse/holmevej-30-7-2970-hoersholm-02233563__30______7","value:|sqm:48|lastPrice:800000|sqmPr:16666|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Centralvarme med én fyringsenhed","168.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2021.0","Hørsholm","55.87545","12.51093","2021-01-01T00:00:00Z","Byggeår","/adresse/goegevang-36b-2970-hoersholm-02233186_36b_______","value:|sqm:168|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Hørsholm","55.886097","12.479729","","","/adresse/havrevej-32-2970-hoersholm-02233370__32_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Hørsholm","55.896458","12.495807","2011-10-25T00:00:00Z","Fri handel","/adresse/kokkedalsvej-23b-2970-hoersholm-02234933_23b_______","value:1950000|sqm:|lastPrice:4500000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Hørsholm","55.896824","12.495621","","","/adresse/kokkedalsvej-25-25-2970-hoersholm-02234933__25_____25","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Centralvarme med én fyringsenhed","187.0","Eget køkken med afløb","1.0","4.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2019.0","Hørsholm","55.863525","12.556765","2019-01-01T00:00:00Z","Byggeår","/adresse/ved-vejen-4-2950-vedbaek-02239390___4_______","value:4200000|sqm:187|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Tagpap med stor hældning","","1998.0","Hørsholm","55.88534","12.497185","","","/adresse/usseroed-kongevej-45-0-tv-2970-hoersholm-02239044__45_st__tv","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Fibercement uden asbest","Fjernvarme/blokvarme","49.0","Eget køkken med afløb","1.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2015.0","Hørsholm","55.897835","12.506114","2015-01-01T00:00:00Z","Byggeår","/adresse/aadalsparkvej-4e-2970-hoersholm-02239729__4e_______","value:|sqm:49|lastPrice:89000000|sqmPr:1816326|rooms:"
