props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,København,55.665764,12.6238575,2020-06-23T14:35:09.58Z,Af markedet,/adresse/strandlodsvej-25m-7-tv-2300-koebenhavn-s-01016996_25m__7__tv,value:3950000|sqm:|lastPrice:8075000|sqmPr:47500|rooms:
,,,,,,,,,,,København,55.706738,12.561499,,,/adresse/aldersrogade-6a-2100-koebenhavn-oe-01010080__6a_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,98.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2020.0,København,55.652485,12.55668,2020-01-01T00:00:00Z,Byggeår,/adresse/cylindervej-17-1-th-2450-koebenhavn-sv-01018837__17__1__th,value:2550000|sqm:98|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Fjernvarme/blokvarme,96.0,Eget køkken med afløb,2.0,1.0,Tegl,Vandskyllende toilet i enheden,2016.0,København,55.661037,12.630112,2023-07-06T09:39:29.265038Z,Af markedet,/adresse/krimsvej-7f-2300-koebenhavn-s-01013952__7f_______,value:2400000|sqm:96|lastPrice:6100000|sqmPr:63541|rooms:
,,,,,,,,,,,København,55.653793,12.512466,2019-01-01T00:00:00Z,Byggeår,/adresse/foelager-13-2-203-2500-valby-01012051__13__2_203,value:|sqm:|lastPrice:45412500|sqmPr:709570|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,91.0,Eget køkken med afløb,7.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2017.0,København,55.66269,12.62698,2017-01-01T00:00:00Z,Byggeår,/adresse/oeresundsvej-155-6-4-2300-koebenhavn-s-01018544_155__6___4,value:2100000|sqm:91|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.6383,12.582385,2023-01-01T00:00:00Z,Byggeår,/adresse/oerestads-boulevard-40d-10-3-2300-koebenhavn-s-01018541_40d_10___3,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,88.0,Eget køkken med afløb,7.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2016.0,København,55.653282,12.548275,2016-01-01T00:00:00Z,Byggeår,/adresse/vestre-teglgade-2m-2-th-2450-koebenhavn-sv-01018268__2m__2__th,value:2100000|sqm:88|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.66418,12.622773,,,/adresse/strandlodsvej-41-0-2300-koebenhavn-s-01016996__41_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.656456,12.550709,2018-01-01T00:00:00Z,Byggeår,/adresse/pladehals-alle-41-2-tv-2450-koebenhavn-sv-01018839__41__2__tv,value:2150000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.6741,12.561627,,,/adresse/meldahlsgade-1-5-tv-1613-koebenhavn-v-01014704___1__5__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.699203,12.545876,,,/adresse/aegirsgade-31--1-2200-koebenhavn-n-01018520__31_kl____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Garage,Mursten,,,,,,Tegl,,1950.0,København,55.649414,12.61102,2021-04-26T11:38:40.07Z,Af markedet,/adresse/oxford-alle-14-0-2300-koebenhavn-s-01015384__14_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.658436,12.559715,2021-01-01T00:00:00Z,Byggeår,/adresse/theodore-roosevelts-vej-17-3-2-2450-koebenhavn-sv-01017385__17__3___2,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.64392,12.542426,,,/adresse/molestien-10-7-714-2450-koebenhavn-sv-01014802__10__7_714,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.68192,12.59302,,,/adresse/toldbodgade-31-3-tv-1253-koebenhavn-k-01017540__31__3__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.682617,12.56438,,,/adresse/nansensgade-44-1366-koebenhavn-k-01014940__44_______,value:17800000|sqm:|lastPrice:|sqmPr:|rooms:
