props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Gentofte,55.753643,12.571702,,,/adresse/jaegersborg-alle-14-1-166-2920-charlottenlund-01570423__14__1_166,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.73315,12.575628,,,/adresse/strandvejen-102c-4-2900-hellerup-01570802102c__4____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.72814,12.579352,,,/adresse/philip-heymans-alle-29-1-2900-hellerup-01570633__29__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.740204,12.564866,,,/adresse/tranegaardsvej-29e-2900-hellerup-01570880_29e_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,66.0,Eget køkken med afløb,2.0,1.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1940.0,Gentofte,55.757965,12.534299,2005-01-01T00:00:00Z,Ombygningsår,/adresse/soendersoevej-41b-0-8-2820-gentofte-01570845_41b_st___8,value:|sqm:66|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,70.0,Eget køkken med afløb,2.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,1938.0,Gentofte,55.736473,12.539941,2017-06-09T00:00:00Z,Fri handel,/adresse/vedbendvej-2b-0-th-2900-hellerup-01570911__2b_st__th,value:1550000|sqm:70|lastPrice:2550000|sqmPr:36428|rooms:
,,,,,,,,,,,Gentofte,55.741722,12.553932,2004-04-27T00:00:00Z,Fri handel,/adresse/hesseltoften-4a-2900-hellerup-01570350__4a_______,value:96000|sqm:|lastPrice:3050000|sqmPr:undefined|rooms:
Hverken badeværelse eller adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Centralvarme med én fyringsenhed,112.0,Eget køkken med afløb,5.0,1.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1937.0,Gentofte,55.728962,12.524664,1937-01-01T00:00:00Z,Byggeår,/adresse/vangedevej-236a-1-tv-2870-dyssegaard-01570904236a__1__tv,value:|sqm:112|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,207.0,Eget køkken med afløb,2.0,4.0,Tegl,Vandskyllende toilet i enheden,1903.0,Gentofte,55.755203,12.561016,2023-09-11T10:36:33.505385Z,Af markedet,/adresse/sommervej-14-2920-charlottenlund-01570775__14_______,value:14308000|sqm:207|lastPrice:9250000|sqmPr:44685|rooms:
,,,,,,,,,,,Gentofte,55.73009,12.521569,,,/adresse/soeborg-hovedgade-27-2870-dyssegaard-01570821__27_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.754677,12.57075,2015-01-22T07:02:15.493Z,Af markedet,/adresse/lille-fredensvej-7-2920-charlottenlund-01570507___7_______,value:3500000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.75544,12.569594,,,/adresse/lindegaardsvej-45a-3-1-2920-charlottenlund-01570512_45a__3___1,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Gentofte,55.748222,12.584138,,,/adresse/jaegersborg-alle-1d-1-23-2920-charlottenlund-01570423__1d__1__23,value:|sqm:|lastPrice:|sqmPr:|rooms:
