props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Hillerød,55.92758,12.272332,,,/adresse/haveforeningen-roennevang-49-3400-hilleroed-02193360__49_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.903137,12.249183,2019-12-31T00:00:00Z,Fri handel,/adresse/fuglebjergvej-20-3400-hilleroed-02192454__20_______,value:1050000|sqm:|lastPrice:595950|sqmPr:undefined|rooms:
,,,,,,,,,,,Hillerød,55.933693,12.161861,,,/adresse/bolandsvej-32a-3320-skaevinge-02190024_32a_______,value:630000|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Træ,,,,,,Tagpap med stor hældning,,2015.0,Hillerød,55.929695,12.297176,,,/adresse/nordstensvej-9--1-3400-hilleroed-02196032___9_kl____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.93102,12.299491,,,/adresse/slotsgade-34b-1-3400-hilleroed-02197815_34b__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.93478,12.312974,,,/adresse/kirsebaerbakken-6c-3400-hilleroed-02194689__6c_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,42.0,Eget køkken med afløb,5.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.929096,12.313349,2021-01-01T00:00:00Z,Byggeår,/adresse/campusvej-189-3400-hilleroed-02191160_189_______,value:|sqm:42|lastPrice:10159050|sqmPr:241882|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,98.0,Eget køkken med afløb,2.0,1.0,Tegl,Vandskyllende toilet i enheden,1902.0,Hillerød,55.93275,12.298296,2013-01-01T00:00:00Z,Ombygningsår,/adresse/slangerupgade-1d-3400-hilleroed-02197775__1d_______,value:|sqm:98|lastPrice:28850000|sqmPr:294387|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,42.0,Eget køkken med afløb,5.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.929,12.313531,2021-01-01T00:00:00Z,Byggeår,/adresse/campusvej-245-3400-hilleroed-02191160_245_______,value:|sqm:42|lastPrice:10159050|sqmPr:241882|rooms:
,,,,,,,,,,,Hillerød,55.92855,12.301644,,,/adresse/gallerierne-3-1-3400-hilleroed-02192675___3__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,67.0,Eget køkken med afløb,4.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2013.0,Hillerød,55.930733,12.34767,2013-01-01T00:00:00Z,Byggeår,/adresse/centervaenget-43-105-3400-hilleroed-02191212__43____105,value:|sqm:67|lastPrice:15300000|sqmPr:228358|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,101.0,Eget køkken med afløb,5.0,1.0,Andet materiale,Vandskyllende toilet i enheden,2019.0,Hillerød,55.92986,12.314108,2019-01-01T00:00:00Z,Byggeår,/adresse/studiestraedet-3-2-4-3400-hilleroed-02198420___3__2___4,value:|sqm:101|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,150.0,Eget køkken med afløb,1.0,2.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1905.0,Hillerød,55.923927,12.301132,2003-08-05T00:00:00Z,Familiehandel,/adresse/enghavevej-12-3400-hilleroed-02191743__12_______,value:3501000|sqm:150|lastPrice:807500|sqmPr:5383|rooms:
,,,,,,,,,,,Hillerød,55.92692,12.280596,,,/adresse/frederiksborg-haveforening-66-3400-hilleroed-02192240__66_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.929108,12.299423,,,/adresse/frederiks-torv-203-0-3400-hilleroed-02192233_203_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Fjernvarme/blokvarme,109.0,Eget køkken med afløb,1.0,1.0,Tegl,Vandskyllende toilet i enheden,2014.0,Hillerød,55.941257,12.262336,2019-11-29T00:00:01Z,Af markedet,/adresse/allekredsen-2-3400-hilleroed-02190311___2_______,value:2150000|sqm:109|lastPrice:3401250|sqmPr:31204|rooms:
,,,,,,,,,,,Hillerød,55.92893,12.302826,,,/adresse/bag-haver-10b-0-3400-hilleroed-02190420_10b_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.93062,12.289986,,,/adresse/laurbaervaenget-3-3400-hilleroed-02190339___3_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,15.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.92974,12.288846,2021-01-01T00:00:00Z,Byggeår,/adresse/baervaenget-2-11-5-3400-hilleroed-02190343___2_11___5,value:|sqm:75|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.982834,12.349027,,,/adresse/soeparken-11-3480-fredensborg-02198567__11_______,value:420000|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,109.0,Eget køkken med afløb,3.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.94152,12.260451,2021-03-12T16:25:31.98Z,Af markedet,/adresse/finn-bager-jensens-vej-5-2-th-3400-hilleroed-02190348___5__2__th,value:|sqm:109|lastPrice:3150000|sqmPr:28899|rooms:
,,,,,,,,,,,Hillerød,55.93097,12.299085,,,/adresse/slotsgade-35-0-3400-hilleroed-02197815__35_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.93251,12.266352,1998-09-28T00:00:00Z,Fri handel,/adresse/voelundsvej-14-3400-hilleroed-02199509__14_______,value:18100000|sqm:|lastPrice:3882900|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,86.0,Eget køkken med afløb,3.0,1.0,Tegl,Vandskyllende toilet i enheden,1968.0,Hillerød,55.941032,12.278143,2014-08-31T00:00:00Z,Fri handel,/adresse/hilleroedsholmsalle-149-2-4-3400-hilleroed-02193587_149__2___4,value:|sqm:86|lastPrice:7894000|sqmPr:91790|rooms:
,,,,,,,,,,,Hillerød,55.941032,12.278143,,,/adresse/hilleroedsholmsalle-149-3400-hilleroed-02193587_149_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.928165,12.337166,,,/adresse/fredskovhellet-65-18-3400-hilleroed-02192284__65_____18,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.914585,12.280076,,,/adresse/brennum-park-24c-3400-hilleroed-02190911_24c_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.891968,12.150251,,,/adresse/stroevej-73d-3320-skaevinge-02190251_73d_______,value:300000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.941273,12.3559475,,,/adresse/graesstien-2-3400-hilleroed-02193018___2_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.930927,12.290839,,,/adresse/laurbaervaenget-16-5-th-3400-hilleroed-02190339__16__5__th,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,85.0,Eget køkken med afløb,3.0,1.0,Tegl,Vandskyllende toilet i enheden,1968.0,Hillerød,55.941357,12.276619,2014-08-31T00:00:00Z,Fri handel,/adresse/hilleroedsholmsalle-157-1-1-3400-hilleroed-02193587_157__1___1,value:|sqm:85|lastPrice:7894000|sqmPr:92870|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,121.0,Eget køkken med afløb,4.0,1.0,Tegl,Vandskyllende toilet i enheden,2018.0,Hillerød,55.92701,12.292034,2018-01-01T00:00:00Z,Byggeår,/adresse/slangerupgade-62m-3-5-3400-hilleroed-02197775_62m__3___5,value:1950000|sqm:121|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Varmepumpe,185.0,Eget køkken med afløb,1.0,2.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2021.0,Hillerød,55.976303,12.348635,2021-01-01T00:00:00Z,Byggeår,/adresse/soevej-5a-3480-fredensborg-02198617__5a_______,value:11200000|sqm:185|lastPrice:170000|sqmPr:918|rooms:
,,,,,,,,,,,Hillerød,55.92912,12.258689,,,/adresse/lokesvej-7-0-3400-hilleroed-02195265___7_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Hillerød,55.928127,12.274483,,,/adresse/tirsdagsengen-72-3400-hilleroed-02198850__72_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,3.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2022.0,Hillerød,55.90844,12.144022,2022-01-01T00:00:00Z,Byggeår,/adresse/klokkestoeber-vej-2-0-tv-3320-skaevinge-02194739___2_st__tv,value:|sqm:68|lastPrice:7500000|sqmPr:110294|rooms:
