"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","Udhus","Træ","Ingen varmeinstallation","","","","","Tagpap med stor hældning","","1996.0","Halsnæs","55.96669","11.999176","","","/adresse/havnelinien-10n-3300-frederiksvaerk-02600525_10n_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Tagpap med lille hældning","","2018.0","Halsnæs","55.944088","12.04386","2016-11-15T13:38:07.687Z","Af markedet","/adresse/kirkevaenget-1-0-3300-frederiksvaerk-02601773___1_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Adgang til badeværelse","Kolonihavehus","Træ","Elvarme","40.0","Eget køkken med afløb","1.0","","Metal","Intet vandskyllende toilet","2007.0","Halsnæs","55.966816","12.0515995","2013-07-03T07:23:08.253Z","Af markedet","/adresse/soetorvstien-53-3300-frederiksvaerk-02601481__53_______","value:|sqm:40|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Tagpap med stor hældning","","1900.0","Halsnæs","55.970047","12.022568","2001-12-21T00:00:00Z","Fri handel","/adresse/fredens-alle-3-3300-frederiksvaerk-02600353___3_______","value:1100000|sqm:|lastPrice:1000000|sqmPr:undefined|rooms:"
"Hverken badeværelse eller adgang til badeværelse","Kolonihavehus","Træ","Elvarme","25.0","Eget køkken med afløb","1.0","","Tagpap med stor hældning","Intet vandskyllende toilet","1971.0","Halsnæs","55.98013","11.93841","1998-08-17T00:00:00Z","Fri handel","/adresse/noeddestien-1-3390-hundested-02601793___1_______","value:|sqm:25|lastPrice:42000|sqmPr:1680|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Varmepumpe","180.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2022.0","Halsnæs","55.94607","11.877094","2022-01-01T00:00:00Z","Byggeår","/adresse/stokrosevej-4-3390-hundested-02601408___4_______","value:532500|sqm:180|lastPrice:495000|sqmPr:2750|rooms:"
"","","","","","","","","","","","Halsnæs","56.007282","12.049738","2018-10-03T00:00:00Z","Fri handel","/adresse/skelledet-4-3300-frederiksvaerk-02601248___4_______","value:249500|sqm:|lastPrice:475000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Sommerhus","Træ","Elvarme","88.0","Eget køkken med afløb","1.0","1.0","Betontagsten","Vandskyllende toilet i enheden","2007.0","Halsnæs","56.013527","12.040895","2020-02-20T13:36:26.69Z","Af markedet","/adresse/nyvej-208b-3300-frederiksvaerk-02601030208b_______","value:1250000|sqm:88|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Sommerhus","Træ","Varmepumpe","40.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2023.0","Halsnæs","56.01387","11.960812","2023-08-26T07:39:46.238801Z","På markedet","/adresse/kystvej-18-3360-liseleje-02600788__18_______?udbud=45a9845c-87eb-4b12-9a15-0cf2cf51b521","pay:1400000|sqmPr:8980|sqm:3118|floor:|rooms:2|fees:6558|built:1975"
"","","","","","","","","","","","Halsnæs","55.954174","11.871447","","","/adresse/lynaes-soepark-49-3390-hundested-02601808__49_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Betontagsten","","1989.0","Halsnæs","56.00862","11.968066","","","/adresse/lisegaardsvej-10g-5-3360-liseleje-02600843_10g______5","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Varmepumpe","68.0","Eget køkken med afløb","2.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2011.0","Halsnæs","55.949406","11.85787","2011-01-01T00:00:00Z","Byggeår","/adresse/fyrrenaesly-13-1-3390-hundested-02601790__13__1____","value:|sqm:68|lastPrice:4100000|sqmPr:60294|rooms:"
"","","","","","","","","","","","Halsnæs","55.975914","12.016236","","","/adresse/syrevej-7a-3300-frederiksvaerk-02601458__7a_______","value:355900|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.954357","11.872405","","","/adresse/lynaes-soepark-35-3390-hundested-02601808__35_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Tagpap med lille hældning","","1905.0","Halsnæs","55.97507","12.019804","1998-04-02T00:00:00Z","Fri handel","/adresse/noerregade-25-3300-frederiksvaerk-02601042__25_______","value:3050000|sqm:|lastPrice:1674682|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","90.0","Eget køkken med afløb","1.0","1.0","Betontagsten","Vandskyllende toilet i enheden","2023.0","Halsnæs","55.96919","11.987866","","","/adresse/hanebakken-11-3300-frederiksvaerk-02601802__11_______","value:|sqm:90|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.99463","11.967993","","","/adresse/melbyvej-134b-3370-melby-02600923134b_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
