props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_floor,props_pageProps_address_municipality_numberOfSchools,props_pageProps_address_municipality_population,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailPropertyClass,lastPrice
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,63.0,Eget køkken med afløb,7.0,1.0,Fibercement uden asbest,Vandskyllende toilet i enheden,1946.0,Frederiksberg,55.685154,12.531216,5.0,18.0,103608.0,1993-12-02T00:00:00Z,Fri handel,/adresse/aksel-moellers-have-30-5-tv-2000-frederiksberg-01470012__30__5__tv,ejerlejlighed,445000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,57.0,Eget køkken med afløb,7.0,1.0,Fibercement uden asbest,Vandskyllende toilet i enheden,1946.0,Frederiksberg,55.685154,12.531216,6.0,18.0,103608.0,2021-04-13T00:00:00Z,Fri handel,/adresse/aksel-moellers-have-30-6-th-2000-frederiksberg-01470012__30__6__th,ejerlejlighed,3495000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,63.0,Eget køkken med afløb,7.0,1.0,Fibercement uden asbest,Vandskyllende toilet i enheden,1946.0,Frederiksberg,55.685154,12.531216,6.0,18.0,103608.0,2019-04-29T00:00:00Z,Fri handel,/adresse/aksel-moellers-have-30-6-tv-2000-frederiksberg-01470012__30__6__tv,ejerlejlighed,3130000
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,183.0,Eget køkken med afløb,1.0,2.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1872.0,Frederiksberg,55.67401,12.544357,,18.0,103608.0,2021-03-08T00:00:00Z,Fri handel,/adresse/alhambravej-4-1826-frederiksberg-c-01470013___4_______,villa,14200000
,Udhus,Træ,,,,,,Tagpap med stor hældning,,2004.0,Frederiksberg,55.67454,12.544192,0.0,18.0,103608.0,2017-03-10T00:00:00Z,Fri handel,/adresse/alhambravej-5-0-1826-frederiksberg-c-01470013___5_st____,,12600000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,232.0,Eget køkken med afløb,2.0,2.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1871.0,Frederiksberg,55.674343,12.544536,1.0,18.0,103608.0,2018-06-22T00:00:00Z,Fri handel,/adresse/alhambravej-8-1-1826-frederiksberg-c-01470013___8__1____,ejerlejlighed,9500000
,,,,,,,,,,,Frederiksberg,55.67462,12.544671,,18.0,103608.0,1998-08-13T00:00:00Z,Fri handel,/adresse/alhambravej-12-1826-frederiksberg-c-01470013__12_______,,4305000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,99.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1950.0,Frederiksberg,55.674763,12.54482,0.0,18.0,103608.0,2002-07-23T00:00:00Z,Fri handel,/adresse/alhambravej-14-0-tv-1826-frederiksberg-c-01470013__14_st__tv,,18700000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,99.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1950.0,Frederiksberg,55.674763,12.54482,1.0,18.0,103608.0,2002-07-23T00:00:00Z,Fri handel,/adresse/alhambravej-14-1-th-1826-frederiksberg-c-01470013__14__1__th,,18700000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,98.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1950.0,Frederiksberg,55.674763,12.54482,1.0,18.0,103608.0,2002-07-23T00:00:00Z,Fri handel,/adresse/alhambravej-14-1-tv-1826-frederiksberg-c-01470013__14__1__tv,,18700000
